idindicador,nomindicador,idunidad,nomunidad,iddepto,nomdepto,deplatitud,deplongitud,fecha,fuente,dato
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),68,Santander,7,-73.25,2010,ENSIN,48.9
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,70,Sucre,9,-75,2010,ENSIN,0.5
2,Mediana de la duración de la lactancia materna total ,5,Meses,70,Sucre,9,-75,2010,ENSIN,13.1
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),70,Sucre,9,-75,2010,ENSIN,37
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,73,Tolima,3.75,-75.25,2010,ENSIN,3.3
2,Mediana de la duración de la lactancia materna total ,5,Meses,73,Tolima,3.75,-75.25,2010,ENSIN,14.3
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),73,Tolima,3.75,-75.25,2010,ENSIN,50.2
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,76,Valle del Cauca,3.75,-76.5,2010,ENSIN,1.6
2,Mediana de la duración de la lactancia materna total ,5,Meses,76,Valle del Cauca,3.75,-76.5,2010,ENSIN,13
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),76,Valle del Cauca,3.75,-76.5,2010,ENSIN,52.6
2,Mediana de la duración de la lactancia materna total ,5,Meses,97,Vaupés,0.25,-70.75,2010,ENSIN,
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),97,Vaupés,0.25,-70.75,2010,ENSIN,33.5
2,Mediana de la duración de la lactancia materna total ,5,Meses,99,Vichada,5,-69.5,2010,ENSIN,
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),99,Vichada,5,-69.5,2010,ENSIN,29.9
